Region,Soil_Type,Rainfall_mm,Temperature_Celsius,Fertilizer_Used,Climate,Days_to_Harvest,Crop,Rotation_Crop,Yield_tons_per_hectare
North,Sandy Loam,792.7975767245621,25.986584841970366,1,Sunny,147,Soybean,Sorghum,5.55922380778387
West,Loam,1020.5844942958024,34.54864778242992,1,Rainy,119,Rice,Chickpea,7.992990325132231
West,Clay,614.8538589793427,16.479175279631736,1,Sunny,168,Wheat,Lentil,4.7513467553744215
West,Sandy Loam,682.4279936868144,27.851759613930135,1,Sunny,133,Soybean,Sorghum,6.449993779054768
East,Loam,1170.5241236872916,20.97577389477919,1,Rainy,93,Rice,Lentil,8.77402938119102
South,Loam,438.53629537328936,13.615381990390176,1,Sunny,179,Wheat,Soybean,4.529565431226489
North,Sandy Loam,997.5133706123892,28.11711076089411,1,Sunny,155,Cotton,Groundnut,6.731564734868807
South,Silt,618.5450708005443,26.339929792144147,1,Sunny,105,Maize,Potato,8.370557619673802
South,Loam,1828.7375091519293,25.351299900403838,1,Rainy,149,Rice,Mustard,7.572272687726626
North,Clay,1986.8869366005174,31.58367153944986,1,Rainy,97,Rice,Mustard,7.212922226803889
East,Loam,522.6819886514552,24.041911420673536,1,Sunny,177,Barley,Lentil,4.76499825333358
South,Loam,525.4233401144095,23.109823217156624,1,Rainy,126,Soybean,Sorghum,5.866019580697792
North,Clay,303.8174106722358,21.272182233898935,1,Sunny,120,Barley,Lentil,4.3322443775240576
North,Clay,442.3934582613473,12.330448647673238,1,Sunny,132,Barley,Chickpea,3.6678395969505146
North,Clay,555.7325817623503,26.044173792778174,1,Sunny,132,Soybean,Wheat,5.305778075320416
East,Sandy Loam,646.210527556866,20.11660262573931,1,Sunny,176,Barley,Lentil,4.675132667086832
West,Clay,853.3121035675473,23.24345021005274,1,Sunny,117,Soybean,Wheat,5.428055399499541
East,Clay,300.3122261971895,15.288532845012536,1,Sunny,122,Wheat,Lentil,4.639518813619509
South,Clay,325.73096897781875,14.843934854449913,1,Sunny,143,Barley,Lentil,3.4687284181670224
West,Silt,708.8912818519365,24.41043530931998,1,Sunny,94,Maize,Soybean,9.264521499324227
South,Silt,509.9152198701645,21.105641232240146,1,Sunny,90,Maize,Groundnut,9.211640034871904
West,Silt,572.6165814534502,24.049219926652906,1,Sunny,100,Maize,Groundnut,9.045299694657322
West,Silt,1633.5297107608947,28.036620261121378,1,Rainy,105,Rice,Lentil,7.6589163207061475
East,Loam,1220.2410475655483,30.667242986570265,1,Rainy,108,Rice,Mustard,7.819539219414441
West,Clay,610.6508103164881,22.565651588609917,1,Sunny,130,Wheat,Soybean,4.944287739978486
South,Black Soil,737.1300130783798,26.749549270959363,1,Sunny,165,Cotton,Soybean,6.777465066101423
West,Clay,838.3294547719961,23.506270857449955,1,Sunny,128,Wheat,Chickpea,5.075165253482901
West,Sandy Loam,600.9439956359307,20.346411400005742,1,Sunny,130,Barley,Lentil,4.060182902621693
South,Sandy Loam,648.9131066246972,29.401334424577783,1,Sunny,118,Soybean,Maize,5.709541840784086
East,Loam,734.5615856763359,32.12179221347536,1,Sunny,150,Cotton,Groundnut,7.071891103277292
North,Loam,494.14310374970466,18.61458299890388,1,Sunny,141,Barley,Chickpea,3.840332666166128
North,Black Soil,1135.227933106268,31.31138625997263,1,Sunny,151,Cotton,Soybean,7.0795409777315506
North,Clay,733.4712691569032,14.211585436612836,1,Sunny,154,Wheat,Chickpea,5.038154282551774
North,Sandy Loam,1148.918634132269,28.701587002554444,1,Sunny,158,Cotton,Soybean,7.3565027109050405
East,Loam,1980.3315837160458,21.130193840091923,1,Rainy,174,Rice,Mustard,8.168058676673134
North,Silt,780.8464322482344,24.264268170074757,1,Sunny,97,Maize,Cowpea,9.605061076803434
East,Sand,588.5871765256816,20.902956878147403,1,Sunny,97,Maize,Soybean,8.845532328352148
South,Loam,1419.7808564462766,23.84310415391687,1,Rainy,113,Rice,Lentil,7.086779043174227
North,Loam,528.376366799971,23.967838272138884,1,Rainy,101,Soybean,Sorghum,5.71357810949148
West,Sand,701.6078405885598,20.953374007272586,1,Sunny,115,Maize,Sweet Potato,9.699338120381038
West,Clay,793.5603363957949,15.402859621168943,1,Sunny,179,Wheat,Mustard,5.292236813153415
West,Loam,682.9060646454914,28.420230750119813,1,Rainy,141,Soybean,Maize,6.178065023108314
West,Loam,887.8147468456636,27.14595104179952,1,Sunny,106,Soybean,Barley,5.709803671967711
North,Silt,788.7945244033775,25.523821084609853,1,Sunny,98,Maize,Potato,8.582247264485115
East,Clay,443.87241549444195,11.408099351219377,1,Sunny,208,Wheat,Mustard,5.234799177609137
South,Clay,1419.60006242779,23.715964842517362,1,Rainy,105,Rice,Green Gram,7.772239599094124
West,Loam,656.494192961136,28.11413309391294,1,Sunny,179,Cotton,Wheat,6.192491371721088
West,Loam,642.0415312341697,19.558816829190135,1,Sunny,119,Maize,Sweet Potato,9.01435483244959
West,Silt,1260.893623341714,20.22956810435577,1,Rainy,108,Rice,Chickpea,8.040417332315322
West,Loam,1944.2515971251673,33.007984003325056,1,Rainy,121,Rice,Green Gram,8.478117637065381
West,Loam,456.21380072118245,19.093018261107154,1,Sunny,156,Barley,Mustard,4.347293201624688
East,Loam,520.8083902625497,18.90700201239684,1,Sunny,91,Maize,Sweet Potato,8.777449734172285
South,Clay,531.237972579339,20.224205034591847,1,Sunny,153,Wheat,Lentil,4.400019602395057
South,Clay,1936.6481518557073,20.587794900134693,1,Rainy,178,Rice,Lentil,8.515552434768335
North,Loam,1990.5051420006735,26.189265153671396,1,Rainy,171,Rice,Lentil,8.117216500995015
West,Loam,743.1581158742041,31.79844779900246,1,Sunny,172,Cotton,Soybean,6.615965038580274
South,Clay,795.8744796646449,14.800744015459177,1,Sunny,178,Wheat,Lentil,4.400039330214462
